PWM (µs),Force (N),Stonefish (Floats)
1100,-27.5566865,-0.4991119005
1100,-27.3605535,-0.4955595027
1136,-25.889556,-0.4689165187
1162,-23.732093,-0.4298401421
1188,-21.6726965,-0.3925399645
1214,-20.8881645,-0.378330373
1240,-17.9461695,-0.325044405
1266,-15.3964405,-0.2788632327
1292,-13.925443,-0.2522202487
1318,-11.964113,-0.21669627
1344,-9.610517,-0.1740674956
1370,-8.041453,-0.1456483126
1396,-5.88399,-0.1065719361
1422,-4.0207265,-0.07282415631
1448,-2.353596,-0.04262877442
1474,-0.8825985,-0.01598579041
1500,0,0
1526,2.0593965,0.03730017762
1552,4.903325,0.08880994671
1578,8.041453,0.1456483126
1604,11.4737805,0.2078152753
1630,15.494507,0.2806394316
1656,18.9268345,0.3428063943
1682,23.2417605,0.4209591474
1708,27.066354,0.4902309059
1734,31.6754795,0.5737122558
1760,35.0097405,0.6341030195
1786,39.1285335,0.7087033748
1812,42.756994,0.7744227353
1838,47.464186,0.8596802842
1864,51.190713,0.9271758437
1890,53.4462425,0.9680284192
1900,55.2114395,1
